"user.id","timestamp","howmanypeople","stress","where","who","why"
"ids-7","2023-11-27 08:42:24",7,0,"home","friends and/or family","sleeping"
"ids-25","2023-11-13 17:08:52",20,2,"work","coworkers","money"
"ids-25","2023-11-13 17:07:15",3,0,"other's house","friends and/or family","girlfriends"
"ids-25","2023-11-13 17:06:36",34,2,"school","teachers and classmates","school"
"ids-25","2023-11-13 17:05:50",5,1,"home","friends and/or family","chilling"
"ids-24","2023-11-13 15:47:39",2,0,"home","friends and/or family","games"
"ids-24","2023-11-13 15:47:16",5,3,"commuting","strangers","helping"
"ids-24","2023-11-13 15:46:56",3,2,"other's house","friends and/or family","babysit"
"ids-24","2023-11-13 15:46:14",2,3,"home","friends and/or family","homework"
"ids-24","2023-11-13 15:45:43",13,3,"school","friends and/or family","practice"
"ids-24","2023-11-13 15:45:19",3,3,"public place","friends and/or family","softball"
"ids-24","2023-11-13 15:44:56",8,0,"other's house","friends and/or family","games"
"ids-24","2023-11-13 15:42:51",4,2,"public place","strangers","shopping"
"ids-24","2023-11-13 15:42:30",1,0,"home","friends and/or family","sleep"
"ids-24","2023-11-13 15:42:14",5,1,"school","friends and/or family","lunch"
"ids-10","2023-11-09 09:05:35",28,2,"school","teachers and classmates","requirement "
"ids-28","2023-11-09 09:03:05",26,0,"school","teachers and classmates","School"
"ids-35","2023-11-09 09:03:05",19,0,"school","teachers and classmates","to learn and graduate"
"ids-31","2023-11-09 09:02:54",24,0,"school","teachers and classmates","learning "
"ids-2","2023-11-09 09:02:53",29,1,"school","teachers and classmates","work"
"ids-32","2023-11-09 09:02:33",29,0,"school","teachers and classmates","eating"
"ids-1","2023-11-09 09:02:27",36,1,"school","teachers and classmates","education"
"ids-2","2023-11-09 09:02:25",29,1,"school","teachers and classmates","learn"
"ids-3","2023-11-09 09:02:22",29,1,"school","teachers and classmates","learning"
"ids-14","2023-11-09 09:02:10",29,1,"school","teachers and classmates","education"
"ids-7","2023-11-09 09:01:49",26,0,"school","teachers and classmates","snacking"
"ids-20","2023-11-09 09:01:42",30,2,"school","teachers and classmates","education"
"ids-19","2023-11-09 09:01:26",24,3,"school","teachers and classmates","learn"
"ids-17","2023-11-09 09:01:15",25,1,"school","teachers and classmates","education "
"ids-13","2023-11-09 09:00:51",29,2,"school","teachers and classmates","learn"
"ids-12","2023-11-09 09:00:49",30,2,"school","teachers and classmates","Education "
"ids-30","2023-11-09 09:00:04",23,0,"school","teachers and classmates","learn"
"ids-23","2023-11-09 09:00:01",17,0,"school","teachers and classmates","Education"
"ids-29","2023-11-09 08:59:28",26,1,"school","teachers and classmates","education "
"ids-30","2023-11-07 08:52:17",23,1,"school","teachers and classmates","learn "
"ids-10","2023-11-06 09:16:31",2,0,"home","friends and/or family","free"
"ids-32","2023-11-06 09:14:11",6,2,"work","coworkers","Money"
"ids-32","2023-11-06 09:13:33",6,1,"work","coworkers","Moneya"
"ids-30","2023-11-06 09:13:19",6,1,"home","friends and/or family","home"
"ids-30","2023-11-06 09:13:01",6,1,"home","friends and/or family","home"
"ids-10","2023-11-06 09:12:30",6,0,"public place","friends and/or family","chill"
"ids-28","2023-11-06 09:12:28",1,1,"public place","friends and/or family","Grocery"
"ids-32","2023-11-06 09:12:13",3,1,"school","friends and/or family","Game"
"ids-30","2023-11-06 09:12:12",5,2,"school","friends and/or family","Football "
"ids-32","2023-11-06 09:11:55",29,2,"school","teachers and classmates","Forced"
"ids-28","2023-11-06 09:11:53",3,0,"home","friends and/or family","Home"
"ids-30","2023-11-06 09:11:43",10,1,"school","teachers and classmates","learning"
"ids-10","2023-11-06 09:11:34",2,1,"home","friends and/or family","home "
"ids-28","2023-11-06 09:11:27",0,1,"commuting","alone","Visiting"
"ids-32","2023-11-06 09:11:25",4,0,"home","friends and/or family","Sleeping"
"ids-22","2023-11-06 08:44:37",2,0,"home","friends and/or family","Because I want to be"
"ids-22","2023-11-06 08:42:56",3,0,"home","friends and/or family","Because I live there"
"ids-19","2023-11-06 08:42:29",14,1,"public place","coworkers","working"
"ids-7","2023-11-06 08:39:26",4,0,"home","friends and/or family","FNAF"
"ids-19","2023-11-06 08:39:06",4,0,"other's house","friends and/or family","party"
"ids-19","2023-11-06 08:38:35",28,3,"school","teachers and classmates","forced"
"ids-7","2023-11-06 08:38:19",6,1,"home","friends and/or family","auditions"
"ids-7","2023-11-06 08:38:00",29,0,"school","teachers and classmates","forced"
"ids-23","2023-11-03 08:45:44",3,2,"work","coworkers","money"
"ids-13","2023-11-03 08:44:55",27,2,"school","teachers and classmates","learn"
"ids-23","2023-11-03 08:44:07",25,1,"school","teachers and classmates","education"
"ids-6","2023-11-02 08:48:53",1,0,"other's house","friends and/or family","hanging out "
"ids-6","2023-11-02 08:48:16",5,0,"home","friends and/or family","sleeping "
"ids-31","2023-11-02 08:47:59",24,0,"school","friends and/or family","learning "
"ids-12","2023-11-02 08:47:51",30,0,"school","friends and/or family","education"
"ids-27","2023-11-02 08:47:47",6,2,"work","coworkers","working"
"ids-6","2023-11-02 08:47:40",24,1,"school","alone","work "
"ids-11","2023-11-02 08:47:38",3,1,"home","friends and/or family","sleep"
"ids-31","2023-11-02 08:47:21",0,0,"public place","friends and/or family","soccer"
"ids-30","2023-11-02 08:47:17",9,1,"other's house","friends and/or family","invite"
"ids-8","2023-11-02 08:47:02",7,2,"public place","friends and/or family","party"
"ids-1","2023-11-02 08:46:42",1,0,"home","friends and/or family","sleeping"
"ids-28","2023-11-02 08:46:01",22,2,"school","teachers and classmates","Test"
"ids-12","2023-11-02 08:46:00",5,0,"home","friends and/or family","Tired"
"ids-30","2023-11-02 08:45:59",5,1,"home","friends and/or family","home "
"ids-1","2023-11-02 08:45:59",36,1,"school","teachers and classmates","preparation"
"ids-31","2023-11-02 08:45:53",24,0,"school","teachers and classmates","learn"
"ids-8","2023-11-02 08:45:47",2,0,"home","friends and/or family","home"
"ids-30","2023-11-02 08:45:31",15,1,"school","teachers and classmates","Learn "
"ids-18","2023-11-02 08:45:28",10,2,"commuting","friends and/or family","halloween"
"ids-28","2023-11-02 08:45:20",4,1,"other's house","friends and/or family","Halloween"
"ids-25","2023-11-02 08:45:11",34,3,"school","teachers and classmates","force"
"ids-8","2023-11-02 08:45:03",36,0,"work","teachers and classmates","work"
"ids-12","2023-11-02 08:44:55",30,1,"school","teachers and classmates","Education "
"ids-28","2023-11-02 08:44:43",2,0,"home","friends and/or family","Morning"
"ids-29","2023-11-02 08:44:28",8,1,"work","coworkers","money"
"ids-7","2023-11-02 08:44:19",6,0,"home","friends and/or family","Youtube"
"ids-1","2023-11-02 08:44:18",2,1,"school","teachers and classmates","ambituous "
"ids-17","2023-11-02 08:44:17",22,1,"school","teachers and classmates","learning "
"ids-19","2023-11-02 08:44:05",2,2,"work","teachers and classmates","learing "
"ids-2","2023-11-02 08:44:03",0,0,"public place","alone","travel"
"ids-29","2023-11-02 08:43:58",6,1,"work","coworkers","money"
"ids-25","2023-11-02 08:43:50",6,0,"home","friends and/or family","home"
"ids-14","2023-11-02 08:43:43",3,0,"home","friends and/or family","Fortnite"
"ids-23","2023-11-02 08:43:42",5,0,"public place","friends and/or family","DInner"
"ids-21","2023-11-02 08:43:27",5,0,"home","friends and/or family","rest"
"ids-23","2023-11-02 08:43:24",4,0,"public place","friends and/or family","Halloween"
"ids-25","2023-11-02 08:43:12",34,1,"school","teachers and classmates","force"
"ids-29","2023-11-02 08:43:12",25,1,"school","teachers and classmates","school"
"ids-32","2023-11-02 08:43:10",1,1,"home","friends and/or family","Tired"
"ids-14","2023-11-02 08:43:07",3,0,"public place","friends and/or family","milkshake"
"ids-23","2023-11-02 08:43:04",30,2,"school","teachers and classmates","Education"
"ids-13","2023-11-02 08:42:48",29,2,"school","friends and/or family","learn"
"ids-11","2023-11-02 08:42:45",3,0,"school","teachers and classmates","need "
"ids-32","2023-11-02 08:42:41",5,0,"other's house","friends and/or family","Party"
"ids-21","2023-11-02 08:42:31",24,1,"school","teachers and classmates","learn"
"ids-17","2023-11-02 08:42:30",6,0,"public place","friends and/or family","trick or treating "
"ids-19","2023-11-02 08:42:24",5,0,"other's house","friends and/or family","party"
"ids-22","2023-11-02 08:42:15",31,1,"school","teachers and classmates","I need to be"
"ids-14","2023-11-02 08:42:15",29,1,"school","teachers and classmates","school"
"ids-24","2023-11-02 08:42:11",5,2,"school","teachers and classmates","catering"
"ids-11","2023-11-02 08:42:07",3,0,"school","teachers and classmates","need"
"ids-21","2023-11-02 08:42:07",4,2,"home","friends and/or family","rest"
"ids-32","2023-11-02 08:42:06",30,1,"school","teachers and classmates","Halloween"
"ids-20","2023-11-02 08:42:06",40,0,"public place","friends and/or family","shopping"
"ids-19","2023-11-02 08:42:02",20,2,"school","teachers and classmates","force "
"ids-2","2023-11-02 08:42:01",21,2,"school","teachers and classmates","torture"
"ids-24","2023-11-02 08:41:42",1,3,"home","friends and/or family","sleeping"
"ids-22","2023-11-02 08:41:21",2,0,"home","friends and/or family","I want to be"
"ids-16","2023-11-02 08:41:09",4,1,"home","friends and/or family","sleeping"
"ids-3","2023-11-02 08:40:55",0,0,"home","alone","tired"
"ids-7","2023-11-02 08:40:25",4,0,"public place","friends and/or family","trick or treating"
"ids-13","2023-11-02 08:40:23",3,0,"public place","friends and/or family","candy"
"ids-20","2023-11-02 08:40:23",0,0,"home","alone","sleeping"
"ids-24","2023-11-02 08:40:13",1,0,"home","friends and/or family","sleep"
"ids-34","2023-11-02 08:39:51",3,0,"home","friends and/or family","Sick"
"ids-16","2023-11-02 08:39:46",24,2,"school","teachers and classmates","have to"
"ids-24","2023-11-02 08:39:43",30,1,"school","teachers and classmates","forced "
"ids-2","2023-11-02 08:39:36",26,1,"school","teachers and classmates","school"
"ids-34","2023-11-02 08:39:36",6,0,"other's house","friends and/or family","Chilling"
"ids-18","2023-11-02 08:39:33",2,2,"home","friends and/or family","eating"
"ids-7","2023-11-02 08:39:32",29,0,"school","teachers and classmates","class"
"ids-17","2023-11-02 08:39:25",1,0,"home","friends and/or family","sick"
"ids-13","2023-11-02 08:39:13",2,0,"school","friends and/or family","happy"
"ids-20","2023-11-02 08:39:12",25,2,"school","teachers and classmates","learning"
"ids-18","2023-11-02 08:39:08",28,1,"school","teachers and classmates","school"
"ids-3","2023-11-02 08:38:44",1,3,"public place","friends and/or family","horror"
"ids-16","2023-11-02 08:38:33",8,3,"home","friends and/or family","live there"
"ids-3","2023-11-02 08:38:04",26,1,"school","teachers and classmates","learning"
"ids-16","2023-11-02 08:38:04",3,2,"home","friends and/or family","live their"
"ids-34","2023-11-02 08:37:49",30,1,"school","teachers and classmates","Work"
"ids-16","2023-11-02 08:37:34",24,3,"school","teachers and classmates","class"
"ids-20","2023-10-27 08:47:18",1,1,"home","friends and/or family","eating"
"ids-20","2023-10-27 08:46:40",0,0,"home","alone","sleeping"
"ids-12","2023-10-27 08:39:54",30,1,"school","teachers and classmates","Education"
"ids-22","2023-10-27 08:38:29",25,1,"school","teachers and classmates","I need to be."
"ids-12","2023-10-27 08:38:06",1,0,"public place","friends and/or family","Food"
"ids-19","2023-10-27 08:37:34",4,0,"home","friends and/or family","home"
"ids-18","2023-10-27 08:37:21",0,1,"home","alone","relaxing"
"ids-3","2023-10-27 08:37:15",1,0,"public place","friends and/or family","movie "
"ids-19","2023-10-27 08:36:50",2,0,"other's house","friends and/or family","hangout "
"ids-31","2023-10-27 08:36:44",2,0,"public place","friends and/or family","exercise "
"ids-7","2023-10-27 08:36:26",11,0,"school","friends and/or family","leaving"
"ids-14","2023-10-27 08:35:54",3,0,"home","friends and/or family","eating"
"ids-3","2023-10-27 08:35:50",1,0,"public place","friends and/or family","movies"
"ids-31","2023-10-27 08:35:49",6,1,"home","friends and/or family","resting "
"ids-23","2023-10-27 08:35:46",0,1,"home","alone","cleaning"
"ids-18","2023-10-27 08:35:45",1,1,"home","friends and/or family","eating"
"ids-13","2023-10-27 08:35:36",2,3,"public place","friends and/or family","working-out"
"ids-16","2023-10-27 08:35:28",3,2,"school","friends and/or family","live there"
"ids-7","2023-10-27 08:35:11",6,0,"home","friends and/or family","changing"
"ids-16","2023-10-27 08:35:08",3,2,"home","friends and/or family","live there"
"ids-23","2023-10-27 08:35:07",2,2,"work","coworkers","Money"
"ids-24","2023-10-27 08:34:48",1,1,"public place","friends and/or family","food"
"ids-13","2023-10-27 08:34:40",0,0,"home","alone","gaming "
"ids-24","2023-10-27 08:34:17",3,2,"public place","friends and/or family","store"
"ids-22","2023-10-27 08:33:29",2,0,"home","friends and/or family","I want to be"
"ids-14","2023-10-27 08:32:50",1,0,"public place","friends and/or family","shoes"
"ids-21","2023-10-26 08:51:43",28,1,"school","teachers and classmates","learning"
"ids-21","2023-10-26 08:51:20",8,0,"public place","friends and/or family","soccer "
"ids-16","2023-10-26 08:50:49",3,2,"home","friends and/or family","at home "
"ids-16","2023-10-26 08:50:21",3,0,"home","alone","just woke up "
"ids-16","2023-10-26 08:46:46",11,1,"other's house","friends and/or family","visiting family "
"ids-16","2023-10-26 08:46:00",4,1,"home","friends and/or family","didn't go anywhere"
"ids-17","2023-10-26 08:45:47",3,0,"home","friends and/or family","resting "
"ids-14","2023-10-26 08:43:07",3,1,"home","friends and/or family","awakening"
"ids-16","2023-10-26 08:43:01",4,3,"public place","friends and/or family","out"
"ids-28","2023-10-26 08:42:45",0,2,"commuting","alone","traveling"
"ids-16","2023-10-26 08:42:37",10,3,"other's house","friends and/or family","visiting "
"ids-32","2023-10-26 08:42:34",4,2,"home","friends and/or family","Getting Up"
"ids-31","2023-10-26 08:42:09",6,1,"home","friends and/or family","getting ready "
"ids-13","2023-10-26 08:42:02",0,0,"home","alone","Ready"
"ids-14","2023-10-26 08:41:56",3,0,"home","friends and/or family","sleeping"
"ids-28","2023-10-26 08:41:44",5,0,"home","friends and/or family","Rest"
"ids-30","2023-10-26 08:41:36",6,1,"home","friends and/or family","my house "
"ids-18","2023-10-26 08:41:33",1,1,"home","friends and/or family","relaxing "
"ids-7","2023-10-26 08:41:30",8,0,"school","friends and/or family","sitting"
"ids-31","2023-10-26 08:41:23",5,1,"home","friends and/or family","barely waking up "
"ids-12","2023-10-26 08:41:23",1,1,"home","friends and/or family","sleeping"
"ids-3","2023-10-26 08:41:21",0,0,"home","alone","awake"
"ids-28","2023-10-26 08:41:17",23,1,"school","teachers and classmates","study"
"ids-25","2023-10-26 08:41:15",5,0,"home","friends and/or family","sleeping"
"ids-16","2023-10-26 08:41:12",4,1,"home","friends and/or family","live there"
"ids-18","2023-10-26 08:41:08",0,2,"home","alone","changing "
"ids-32","2023-10-26 08:41:06",4,1,"home","friends and/or family","In bed"
"ids-2","2023-10-26 08:40:57",0,0,"home","friends and/or family","sleep"
"ids-30","2023-10-26 08:40:53",4,1,"home","friends and/or family","getting ready "
"ids-13","2023-10-26 08:40:52",0,0,"home","alone","Chill"
"ids-12","2023-10-26 08:40:48",30,3,"school","teachers and classmates","education"
"ids-23","2023-10-26 08:40:44",28,3,"school","teachers and classmates","education "
"ids-25","2023-10-26 08:40:41",5,0,"home","friends and/or family","sleeping"
"ids-7","2023-10-26 08:40:29",6,0,"home","friends and/or family","sleeping"
"ids-29","2023-10-26 08:40:24",26,1,"school","teachers and classmates","school"
"ids-19","2023-10-26 08:40:23",22,0,"school","teachers and classmates","learn"
"ids-24","2023-10-26 08:40:19",1,0,"home","friends and/or family","relaxing"
"ids-2","2023-10-26 08:40:19",4,1,"home","friends and/or family","home"
"ids-34","2023-10-26 08:40:18",10,1,"school","friends and/or family","Relaxed"
"ids-22","2023-10-26 08:40:17",2,0,"home","friends and/or family","I live there"
"ids-30","2023-10-26 08:40:12",4,1,"home","friends and/or family","getting ready for school "
"ids-18","2023-10-26 08:40:10",1,0,"home","friends and/or family","sleeping "
"ids-31","2023-10-26 08:40:05",6,1,"home","friends and/or family","resting"
"ids-14","2023-10-26 08:40:01",1,0,"public place","friends and/or family","shopping"
"ids-23","2023-10-26 08:40:00",1,2,"home","friends and/or family","Cleaning"
"ids-24","2023-10-26 08:39:56",2,0,"home","friends and/or family","sleep"
"ids-7","2023-10-26 08:39:55",10,0,"public place","friends and/or family","talking"
"ids-19","2023-10-26 08:39:55",0,0,"home","alone","bed"
"ids-29","2023-10-26 08:39:54",5,1,"home","friends and/or family","sleep"
"ids-18","2023-10-26 08:39:49",1,1,"home","friends and/or family","relaxing "
"ids-25","2023-10-26 08:39:47",3,0,"other's house","friends and/or family","girlfriend"
"ids-34","2023-10-26 08:39:43",4,0,"home","friends and/or family","sleeping"
"ids-24","2023-10-26 08:39:37",2,0,"public place","friends and/or family","eating"
"ids-3","2023-10-26 08:39:26",1,2,"home","friends and/or family","sitting"
"ids-19","2023-10-26 08:39:24",15,2,"work","coworkers","work"
"ids-29","2023-10-26 08:39:18",5,2,"home","friends and/or family","computer"
"ids-23","2023-10-26 08:39:14",0,0,"home","alone","Sleeping"
"ids-12","2023-10-26 08:39:12",3,3,"home","friends and/or family","talkinh"
"ids-34","2023-10-26 08:39:08",5,3,"home","friends and/or family","Working"
"ids-20","2023-10-26 08:39:05",50,0,"public place","friends and/or family","Reasturant"
"ids-22","2023-10-26 08:36:40",25,1,"school","teachers and classmates","I need to be"
"ids-10","2023-10-24 09:05:01",23,0,"school","teachers and classmates","Obligation"
"ids-13","2023-10-24 09:04:39",5,1,"public place","friends and/or family","shop"
"ids-21","2023-10-24 09:04:31",2,1,"home","alone","tired"
"ids-27","2023-10-24 09:04:29",3,0,"commuting","friends and/or family","six flags"
"ids-10","2023-10-24 09:03:49",23,0,"work","teachers and classmates","Requirement "
"ids-13","2023-10-24 09:00:48",3,0,"home","friends and/or family","home"
"ids-21","2023-10-24 09:00:09",4,2,"school","friends and/or family","class"
"ids-32","2023-10-24 09:00:01",1,1,"public place","friends and/or family","Gym"
"ids-13","2023-10-24 08:59:53",2,0,"school","friends and/or family","eat"
"ids-21","2023-10-24 08:59:30",4,0,"other's house","friends and/or family","boyfriend"
"ids-2","2023-10-24 08:59:17",26,1,"school","teachers and classmates","forced"
"ids-3","2023-10-24 08:58:52",2,0,"public place","friends and/or family","out "
"ids-2","2023-10-24 08:58:51",26,1,"school","teachers and classmates","""learn"""
"ids-13","2023-10-24 08:58:36",0,0,"home","alone","chill"
"ids-21","2023-10-24 08:58:35",6,2,"home","friends and/or family","Tired"
"ids-2","2023-10-24 08:58:26",1,1,"school","teachers and classmates","forced"
"ids-20","2023-10-24 08:58:26",80,0,"other's house","friends and/or family","party"
"ids-14","2023-10-24 08:58:15",3,1,"home","friends and/or family","sleeping"
"ids-27","2023-10-24 08:58:10",8,3,"work","coworkers","working "
"ids-18","2023-10-24 08:58:05",0,3,"home","alone","relaxing "
"ids-10","2023-10-24 08:57:57",23,0,"school","strangers","Expectation "
"ids-29","2023-10-24 08:57:52",10,0,"public place","strangers","7/11"
"ids-3","2023-10-24 08:57:50",25,1,"school","teachers and classmates","learning "
"ids-20","2023-10-24 08:57:50",200,0,"public place","strangers","shopping"
"ids-2","2023-10-24 08:57:47",26,1,"school","teachers and classmates","need"
"ids-6","2023-10-24 08:57:46",30,3,"school","teachers and classmates","school "
"ids-12","2023-10-24 08:57:45",12,1,"school","teachers and classmates","Club"
"ids-18","2023-10-24 08:57:42",27,3,"school","teachers and classmates","mandatory "
"ids-13","2023-10-24 08:57:41",26,0,"school","teachers and classmates","Learn"
"ids-2","2023-10-24 08:57:17",26,1,"school","teachers and classmates","imprisonment"
"ids-6","2023-10-24 08:57:11",1,0,"other's house","friends and/or family","hanging out "
"ids-28","2023-10-24 08:57:08",48,3,"work","coworkers","Money"
"ids-3","2023-10-24 08:57:06",6,0,"school","friends and/or family","eating"
"ids-20","2023-10-24 08:56:57",2,0,"home","friends and/or family","sleep"
"ids-29","2023-10-24 08:56:57",25,0,"school","teachers and classmates","ids"
"ids-18","2023-10-24 08:56:51",300,1,"school","teachers and classmates","mandatory "
"ids-12","2023-10-24 08:56:46",2,1,"other's house","friends and/or family","Sleepover"
"ids-21","2023-10-24 08:56:41",28,1,"school","teachers and classmates","learning"
"ids-6","2023-10-24 08:56:39",4,2,"home","friends and/or family","relaxing "
"ids-27","2023-10-24 08:56:38",28,2,"school","teachers and classmates","work"
"ids-25","2023-10-24 08:56:37",25,1,"school","strangers","practice "
"ids-32","2023-10-24 08:56:30",7,1,"school","friends and/or family","Food"
"ids-20","2023-10-24 08:56:27",25,2,"school","teachers and classmates","learning"
"ids-28","2023-10-24 08:56:18",18,0,"public place","alone","Relaxing"
"ids-3","2023-10-24 08:56:10",0,2,"home","alone","sleeping "
"ids-10","2023-10-24 08:56:09",23,0,"school","strangers","Obligation "
"ids-20","2023-10-24 08:56:00",0,0,"home","alone","sleep"
"ids-22","2023-10-24 08:55:59",3,0,"home","friends and/or family","Because I like being at home"
"ids-18","2023-10-24 08:55:53",1,2,"public place","friends and/or family","errands "
"ids-29","2023-10-24 08:55:50",4,0,"school","friends and/or family","Friends "
"ids-30","2023-10-24 08:55:46",7,1,"home","friends and/or family","i live there"
"ids-12","2023-10-24 08:55:44",3,3,"public place","friends and/or family","Restaurant "
"ids-27","2023-10-24 08:55:40",26,1,"school","teachers and classmates","learning "
"ids-37","2023-10-24 08:55:39",1,2,"school","friends and/or family","education"
"ids-32","2023-10-24 08:55:38",2,1,"work","friends and/or family","Tired"
"ids-6","2023-10-24 08:55:35",4,2,"home","friends and/or family","sleeping "
"ids-20","2023-10-24 08:55:32",1,1,"school","teachers and classmates","learning"
"ids-28","2023-10-24 08:55:24",10,2,"commuting","alone","Work"
"ids-32","2023-10-24 08:55:19",7,2,"work","coworkers","Money"
"ids-29","2023-10-24 08:55:18",6,2,"work","coworkers","money"
"ids-18","2023-10-24 08:55:09",0,1,"home","alone","relaxing "
"ids-31","2023-10-24 08:55:08",24,1,"school","teachers and classmates","Learn"
"ids-28","2023-10-24 08:54:58",8,1,"other's house","friends and/or family","Family"
"ids-29","2023-10-24 08:54:53",9,0,"work","coworkers","money"
"ids-12","2023-10-24 08:54:50",5,0,"home","friends and/or family","Eating"
"ids-22","2023-10-24 08:54:48",25,0,"school","teachers and classmates","Because I need to be."
"ids-10","2023-10-24 08:54:34",23,0,"school","teachers and classmates","Education "
"ids-31","2023-10-24 08:54:33",6,1,"home","friends and/or family","Rest"
"ids-34","2023-10-24 08:54:25",5,0,"home","friends and/or family","sleep"
"ids-30","2023-10-24 08:54:16",4,1,"public place","friends and/or family","to eat"
"ids-25","2023-10-24 08:54:12",25,1,"school","teachers and classmates","school"
"ids-31","2023-10-24 08:54:08",0,0,"home","friends and/or family","Rest"
"ids-22","2023-10-24 08:53:46",25,1,"school","teachers and classmates","To learn."
"ids-25","2023-10-24 08:53:43",10,0,"school","friends and/or family","break"
"ids-8","2023-10-24 08:53:41",1,3,"home","friends and/or family","cleaning"
"ids-31","2023-10-24 08:52:56",6,1,"home","friends and/or family","Rest"
"ids-23","2023-10-24 08:52:54",1,1,"home","friends and/or family","Cooking"
"ids-16","2023-10-24 08:52:27",25,3,"school","teachers and classmates","force"
"ids-7","2023-10-24 08:52:23",25,0,"school","teachers and classmates","learn"
"ids-17","2023-10-24 08:52:22",3,0,"home","friends and/or family","sleeping "
"ids-8","2023-10-24 08:52:00",25,0,"school","teachers and classmates","work"
"ids-23","2023-10-24 08:51:26",23,2,"school","teachers and classmates","Education "
"ids-17","2023-10-24 08:51:24",32,1,"school","teachers and classmates","education "
"ids-3","2023-10-24 08:51:22",25,2,"school","teachers and classmates","learn"
"ids-25","2023-10-24 08:51:22",30,0,"public place","friends and/or family","hungry "
"ids-31","2023-10-24 08:51:05",35,1,"school","friends and/or family","Learn "
"ids-17","2023-10-24 08:50:41",32,2,"school","teachers and classmates","school"
"ids-7","2023-10-24 08:50:41",7,0,"school","friends and/or family","chilling"
"ids-8","2023-10-24 08:50:40",5,2,"work","teachers and classmates","work"
"ids-23","2023-10-24 08:50:39",32,3,"school","teachers and classmates","IDS"
"ids-25","2023-10-24 08:50:29",27,2,"work","coworkers","responsibility "
"ids-22","2023-10-24 08:50:25",1,1,"work","teachers and classmates","Because I have to. "
"ids-23","2023-10-24 08:50:04",2,3,"home","friends and/or family","Cleaning"
"ids-17","2023-10-24 08:50:04",3,1,"home","friends and/or family","football"
"ids-27","2023-10-24 08:49:41",23,1,"school","teachers and classmates","learning "
"ids-14","2023-10-24 08:49:41",26,1,"school","teachers and classmates","forced"
"ids-17","2023-10-24 08:49:38",2,0,"home","friends and/or family","sleep"
"ids-7","2023-10-24 08:49:37",6,0,"home","friends and/or family","tired"
"ids-8","2023-10-24 08:49:32",35,0,"public place","strangers","shopping"
"ids-19","2023-10-24 08:49:27",0,0,"home","alone","sleep"
"ids-34","2023-10-24 08:49:13",26,1,"school","teachers and classmates","obligated"
"ids-19","2023-10-24 08:49:10",26,2,"school","teachers and classmates","learn"
"ids-14","2023-10-24 08:49:08",30,1,"school","teachers and classmates","education"
"ids-28","2023-10-24 08:49:06",26,0,"school","teachers and classmates","Education"
"ids-7","2023-10-24 08:49:03",8,0,"school","friends and/or family","scholarship"
"ids-34","2023-10-24 08:48:52",17,1,"school","teachers and classmates","chill"
"ids-19","2023-10-24 08:48:35",3,0,"school","friends and/or family","learn"
"ids-11","2023-10-24 08:48:33",2,0,"school","teachers and classmates","need"
"ids-34","2023-10-24 08:48:19",5,0,"home","friends and/or family","sleep"
"ids-30","2023-10-24 08:48:08",5,1,"school","teachers and classmates","meeting "
"ids-8","2023-10-24 08:48:06",1,2,"home","friends and/or family","sick"
"ids-14","2023-10-24 08:47:54",24,1,"work","coworkers","money"
"ids-19","2023-10-24 08:47:53",15,2,"work","coworkers","work"
"ids-24","2023-10-24 08:47:36",20,3,"public place","strangers","traning"
"ids-12","2023-10-24 08:47:28",29,2,"school","teachers and classmates","Education "
"ids-30","2023-10-24 08:47:24",1,1,"home","friends and/or family"," sleeping "
"ids-18","2023-10-24 08:47:23",27,3,"school","teachers and classmates","mandatory "
"ids-23","2023-10-24 08:47:16",3,2,"home","friends and/or family","Sick"
"ids-20","2023-10-24 08:46:57",25,3,"school","teachers and classmates","education"
"ids-34","2023-10-24 08:46:55",26,1,"school","teachers and classmates","obligated"
"ids-32","2023-10-24 08:46:49",25,1,"school","teachers and classmates","forced"
"ids-30","2023-10-24 08:46:27",9,2,"school","friends and/or family","sports med/ football game "
"ids-24","2023-10-24 08:46:27",26,2,"school","teachers and classmates","forced"
"ids-14","2023-10-24 08:46:22",3,0,"home","friends and/or family","chilling"
"ids-19","2023-10-24 08:46:03",24,1,"school","teachers and classmates","learn"
"ids-24","2023-10-24 08:45:49",4,1,"school","friends and/or family","forced "
"ids-7","2023-10-24 08:45:43",3,0,"school","teachers and classmates","academic"
"ids-22","2023-10-24 08:45:33",27,1,"school","teachers and classmates","To learn."
"ids-24","2023-10-24 08:45:13",0,0,"home","alone","sleeping"
"ids-24","2023-10-24 08:44:44",10,2,"school","teachers and classmates","cleaning"
"ids-30","2023-10-24 08:44:32",3,3,"school","teachers and classmates","learn "
"ids-5","2023-08-24 08:39:45",0,2,"school","alone","learn"
"ids-5","2023-08-16 09:01:45",0,3,"school","alone","Learning"
